,Energy_Price,Unit_Of_Measure,Date,Energy_ID,Energy_Type
392,172.0,Cents per litre,2022-09,1,Electricity
393,203.6,Cents per litre,2022-10,1,Electricity
394,226.7,Cents per litre,2022-11,1,Electricity
395,184.2,Cents per litre,2022-12,1,Electricity
396,174.9,Cents per litre,2023-01,1,Electricity
397,193.5,Cents per litre,2023-02,1,Electricity
398,156.0,Cents per litre,2023-03,1,Electricity
399,139.9,Cents per litre,2023-04,1,Electricity
400,125.2,Cents per litre,2023-05,1,Electricity
401,125.3,Cents per litre,2023-06,1,Electricity
402,145.6,Cents per litre,2023-07,1,Electricity
403,166.2,Cents per litre,2023-08,1,Electricity
404,179.9,Cents per litre,2023-09,1,Electricity
405,177.8,Cents per litre,2023-10,1,Electricity
406,168.2,Cents per litre,2023-11,1,Electricity
407,163.4,Cents per litre,2023-12,1,Electricity
408,155.0,Cents per litre,2024-01,1,Electricity
409,159.0,Cents per litre,2024-02,1,Electricity
410,157.9,Cents per litre,2024-03,1,Electricity
411,152.2,Cents per litre,2024-04,1,Electricity
412,145.6,Cents per litre,2024-05,1,Electricity
413,143.0,Cents per litre,2024-06,1,Electricity
414,145.1,Cents per litre,2024-07,1,Electricity
415,145.9,Cents per litre,2024-08,1,Electricity
416,138.5,Cents per litre,2024-09,1,Electricity
417,134.9,Cents per litre,2024-10,1,Electricity
418,145.2,Cents per litre,2024-11,1,Electricity
419,150.1,Cents per litre,2024-12,1,Electricity
420,37.1,"Index, 2014=100",1981-01,2,Fuel Oil
421,37.1,"Index, 2014=100",1981-02,2,Fuel Oil
422,37.1,"Index, 2014=100",1981-03,2,Fuel Oil
423,37.1,"Index, 2014=100",1981-04,2,Fuel Oil
424,37.1,"Index, 2014=100",1981-05,2,Fuel Oil
425,37.1,"Index, 2014=100",1981-06,2,Fuel Oil
426,37.1,"Index, 2014=100",1981-07,2,Fuel Oil
427,37.1,"Index, 2014=100",1981-08,2,Fuel Oil
428,37.1,"Index, 2014=100",1981-09,2,Fuel Oil
429,37.1,"Index, 2014=100",1981-10,2,Fuel Oil
430,37.1,"Index, 2014=100",1981-11,2,Fuel Oil
431,37.1,"Index, 2014=100",1981-12,2,Fuel Oil
432,37.1,"Index, 2014=100",1982-01,2,Fuel Oil
433,37.1,"Index, 2014=100",1982-02,2,Fuel Oil
434,37.1,"Index, 2014=100",1982-03,2,Fuel Oil
435,37.1,"Index, 2014=100",1982-04,2,Fuel Oil
436,37.1,"Index, 2014=100",1982-05,2,Fuel Oil
437,37.1,"Index, 2014=100",1982-06,2,Fuel Oil
438,37.1,"Index, 2014=100",1982-07,2,Fuel Oil
439,37.1,"Index, 2014=100",1982-08,2,Fuel Oil
440,37.1,"Index, 2014=100",1982-09,2,Fuel Oil
441,37.1,"Index, 2014=100",1982-10,2,Fuel Oil
442,37.1,"Index, 2014=100",1982-11,2,Fuel Oil
443,37.1,"Index, 2014=100",1982-12,2,Fuel Oil
444,43.8,"Index, 2014=100",1983-01,2,Fuel Oil
445,43.8,"Index, 2014=100",1983-02,2,Fuel Oil
446,43.8,"Index, 2014=100",1983-03,2,Fuel Oil
447,49.3,"Index, 2014=100",1983-04,2,Fuel Oil
448,49.3,"Index, 2014=100",1983-05,2,Fuel Oil
449,49.3,"Index, 2014=100",1983-06,2,Fuel Oil
450,49.3,"Index, 2014=100",1983-07,2,Fuel Oil
