,Building_ID,Building_Name,Year_Built,Total_Sqft,Building_Classification,Building_Use,Facility
129666,BL85637,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129667,BL85638,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129668,BL85639,Unknown,2005.0,,Residential,RESIDENTIAL,Other
129670,BL85640,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129672,BL85641,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129674,BL85642,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129675,BL85643,Unknown,2012.0,,Residential,RESIDENTIAL,Other
129676,BL85644,Unknown,2013.0,,Commercial,OTHER SERVICE,Other
129677,BL85645,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129678,BL85646,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129679,BL85647,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129680,BL85648,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129681,BL85649,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129683,BL85650,Unknown,2012.0,,Residential,RESIDENTIAL,Other
129684,BL85651,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129685,BL85652,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129686,BL85653,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129687,BL85654,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129689,BL85655,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129694,BL85657,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129695,BL85658,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129696,BL85659,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129848,BL85,SACKVILLE HIGH SCHOOL,1972.0,145000.0,Institutional,PUBLIC SCHOOL,Other
129849,BL850,OTTER LAKE MAINTENANCE GARAGE,1999.0,,Industrial,REFUSE FACILITY,Other
129986,BL851,OTTER LAKE SCALE HOUSE ADMINISTRATION BUILDING,1999.0,,Industrial,REFUSE FACILITY,Other
130116,BL86272,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130117,BL86273,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130118,BL86274,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130119,BL86275,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130120,BL86276,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130121,BL86277,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130122,BL86278,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130123,BL86279,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130125,BL86280,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130126,BL86281,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130128,BL86282,Unknown,2013.0,,Commercial,OTHER RETAIL,Other
130129,BL86283,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130130,BL86284,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130132,BL86285,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130133,BL86286,Unknown,2013.0,,Commercial,BAR/RESTAURANT,Other
130134,BL86287,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130135,BL86288,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130136,BL86289,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130138,BL86290,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130139,BL86291,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130140,BL86292,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130141,BL86293,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130142,BL86294,Unknown,2012.0,,Residential,RESIDENTIAL,Other
130144,BL86295,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130145,BL86296,Unknown,2013.0,,Institutional,PARAMEDIC BASE,Other
130146,BL86297,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130147,BL86298,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130148,BL86299,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130150,BL86300,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130151,BL86301,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130152,BL86302,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130153,BL86303,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130154,BL86304,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130155,BL86305,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130156,BL86306,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130158,BL86307,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130159,BL86308,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130160,BL86309,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130163,BL86310,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130164,BL86311,Unknown,2013.0,,Commercial,OTHER RETAIL,Other
130165,BL86312,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130169,BL86313,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130170,BL86314,Unknown,2006.0,,Residential,RESIDENTIAL,Other
130171,BL86315,Unknown,2006.0,,Residential,RESIDENTIAL,Other
130172,BL86316,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130173,BL86317,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130179,BL86318,ST LAWRENCE PLACE,2013.0,,Residential,RESIDENTIAL,Other
130183,BL86320,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130184,BL86321,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130185,BL86322,Unknown,2013.0,,Residential,RESIDENTIAL,Other
